age,val,year
15,0.3335624284077892,1985.0
20,0.7172483560950936,1985.0
25,0.9227665706051873,1985.0
30,0.963915803541597,1985.0
35,0.963956043956044,1985.0
40,0.9360523665659617,1985.0
45,0.8782608695652174,1985.0
15,0.3180533117932149,1990.0
20,0.716012084592145,1990.0
25,0.9226419943459265,1990.0
30,0.9566236811254396,1990.0
35,0.9450699419993176,1990.0
40,0.9170031404217138,1990.0
45,0.884020618556701,1990.0
15,0.31068313953488375,1995.0
20,0.6721881390593047,1995.0
25,0.9140901581307529,1995.0
30,0.9663974993487887,1995.0
35,0.9616527942925089,1995.0
40,0.943442054129077,1995.0
45,0.8969641214351426,1995.0
15,0.26671111851975327,2000.0
20,0.6653158961134648,2000.0
25,0.9463323663489432,2000.0
30,0.9524378585086042,2000.0
35,0.955338266384778,2000.0
40,0.9458887545344619,2000.0
45,0.939297124600639,2000.0
15,0.2813119755911518,2005.0
20,0.6352403520649966,2005.0
25,0.9316526610644258,2005.0
30,0.9611017661900757,2005.0
35,0.9689244962369508,2005.0
40,0.9297210300429185,2005.0
45,0.9188271604938272,2005.0
15,0.2782788703238208,2010.0
20,0.7117619711761971,2010.0
25,0.893994149027706,2010.0
30,0.939882419874834,2010.0
35,0.9583422345652638,2010.0
40,0.9380093850333415,2010.0
45,0.8945205479452055,2010.0
15,0.35879792164021906,2015.0
20,0.6463923673225999,2015.0
25,0.8625273694088208,2015.0
30,0.9593891010065949,2015.0
35,0.9624161073825503,2015.0
40,0.9432162982228002,2015.0
45,0.910993444276349,2015.0
15,0.30062178967288455,2020.0
20,0.6913178733031674,2020.0
25,0.9352799518362432,2020.0
30,0.9626123994320871,2020.0
35,0.9560266292922215,2020.0
40,0.9434072345390898,2020.0
45,0.9073461283917935,2020.0
