sex,bin,count,probability,mean,median,std,pct_gt_20
f,0,52673,0.9099436824102546,2.0357628431288184,0.0,11.614249683531805,2.693224613896279
f,1,453,0.007825726427806379,2.0357628431288184,0.0,11.614249683531805,2.693224613896279
f,2,407,0.007031061051031337,2.0357628431288184,0.0,11.614249683531805,2.693224613896279
f,3,378,0.0065300763569775076,2.0357628431288184,0.0,11.614249683531805,2.693224613896279
f,4,331,0.005718135645924749,2.0357628431288184,0.0,11.614249683531805,2.693224613896279
f,5,300,0.005182600283315482,2.0357628431288184,0.0,11.614249683531805,2.693224613896279
f,6,251,0.004336108903707287,2.0357628431288184,0.0,11.614249683531805,2.693224613896279
f,7,226,0.00390422554676433,2.0357628431288184,0.0,11.614249683531805,2.693224613896279
f,8,229,0.003956051549597485,2.0357628431288184,0.0,11.614249683531805,2.693224613896279
f,9,187,0.003230487509933317,2.0357628431288184,0.0,11.614249683531805,2.693224613896279
f,10,168,0.00290225615865667,2.0357628431288184,0.0,11.614249683531805,2.693224613896279
f,11,155,0.0026776768130463324,2.0357628431288184,0.0,11.614249683531805,2.693224613896279
f,12,118,0.0020384894447707563,2.0357628431288184,0.0,11.614249683531805,2.693224613896279
f,13,125,0.0021594167847147844,2.0357628431288184,0.0,11.614249683531805,2.693224613896279
f,14,106,0.001831185433438137,2.0357628431288184,0.0,11.614249683531805,2.693224613896279
f,15,91,0.0015720554192723629,2.0357628431288184,0.0,11.614249683531805,2.693224613896279
f,16,90,0.0015547800849946447,2.0357628431288184,0.0,11.614249683531805,2.693224613896279
f,17,92,0.0015893307535500812,2.0357628431288184,0.0,11.614249683531805,2.693224613896279
f,18,76,0.0013129254051065888,2.0357628431288184,0.0,11.614249683531805,2.693224613896279
f,19,90,0.0015547800849946447,2.0357628431288184,0.0,11.614249683531805,2.693224613896279
f,20,1340,0.023148947932142488,2.0357628431288184,0.0,11.614249683531805,2.693224613896279
m,0,17084,0.31839868793797527,1.9465483822871628,1.0,2.168367391732096,0.0
m,1,12374,0.23061726554346204,1.9465483822871628,1.0,2.168367391732096,0.0
m,2,8009,0.14926569256001193,1.9465483822871628,1.0,2.168367391732096,0.0
m,3,5413,0.10088340539734605,1.9465483822871628,1.0,2.168367391732096,0.0
m,4,3707,0.06908826599075593,1.9465483822871628,1.0,2.168367391732096,0.0
m,5,2669,0.049742806023557476,1.9465483822871628,1.0,2.168367391732096,0.0
m,6,1847,0.034422990905024604,1.9465483822871628,1.0,2.168367391732096,0.0
m,7,1152,0.021470105859549723,1.9465483822871628,1.0,2.168367391732096,0.0
m,8,704,0.01312062024750261,1.9465483822871628,1.0,2.168367391732096,0.0
m,9,358,0.006672133591769793,1.9465483822871628,1.0,2.168367391732096,0.0
m,10,185,0.0034478902639033847,1.9465483822871628,1.0,2.168367391732096,0.0
m,11,91,0.0016959892649470703,1.9465483822871628,1.0,2.168367391732096,0.0
m,12,40,0.000745489786789921,1.9465483822871628,1.0,2.168367391732096,0.0
m,13,13,0.00024228418070672432,1.9465483822871628,1.0,2.168367391732096,0.0
m,14,10,0.00018637244669748024,1.9465483822871628,1.0,2.168367391732096,0.0
m,15,0,0.0,1.9465483822871628,1.0,2.168367391732096,0.0
m,16,0,0.0,1.9465483822871628,1.0,2.168367391732096,0.0
m,17,0,0.0,1.9465483822871628,1.0,2.168367391732096,0.0
m,18,0,0.0,1.9465483822871628,1.0,2.168367391732096,0.0
m,19,0,0.0,1.9465483822871628,1.0,2.168367391732096,0.0
m,20,0,0.0,1.9465483822871628,1.0,2.168367391732096,0.0
